ID,TypeQuestion,Titre,Options,Logique,Description,Paramètres (JSON)
Q16,QCU_CAT,Quel critère prime dans vos choix ?,Appliquer la logique; Considérer les émotions,T;F,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Appliquer la logique"",""profil"":""T"",""valeur"":1},{""libelle"":""Considérer les émotions"",""profil"":""F"",""valeur"":1}]}"
Q17,QCU_CAT,Comment traitez-vous les tâches terminées ?,Cocher accompli; Passer à la suivante,J;P,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Cocher accompli"",""profil"":""J"",""valeur"":1},{""libelle"":""Passer à la suivante"",""profil"":""P"",""valeur"":1}]}"
Q18,QCU_CAT,Comment analysez-vous une situation ?,Chercher des schémas; Détails présents,N;S,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Chercher des schémas"",""profil"":""N"",""valeur"":1},{""libelle"":""Détails présents"",""profil"":""S"",""valeur"":1}]}"
Q19,QCU_CAT,Comment répartissez-vous vos interactions sociales ?,Peu de proches; Discuter avec beaucoup,I;E,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Peu de proches"",""profil"":""I"",""valeur"":1},{""libelle"":""Discuter avec beaucoup"",""profil"":""E"",""valeur"":1}]}"
Q20,QCU_CAT,Quel objectif priorisez-vous en conflit ?,Solution rationnelle; Préserver la relation,T;F,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Solution rationnelle"",""profil"":""T"",""valeur"":1},{""libelle"":""Préserver la relation"",""profil"":""F"",""valeur"":1}]}"
Q21,QCU_CAT,Où puisez-vous votre énergie ?,Activités avec d'autres; Isolement pour réfléchir,E;I,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Activités avec d'autres"",""profil"":""E"",""valeur"":1},{""libelle"":""Isolement pour réfléchir"",""profil"":""I"",""valeur"":1}]}"
Q22,QCU_CAT,Dans quel environnement travaillez-vous le mieux ?,Options ouvertes; Tout structuré,P;J,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Options ouvertes"",""profil"":""P"",""valeur"":1},{""libelle"":""Tout structuré"",""profil"":""J"",""valeur"":1}]}"
Q23,QCU_CAT,Quel type d'information privilégiez-vous ?,Faits concrets; Principes généraux,S;N,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Faits concrets"",""profil"":""S"",""valeur"":1},{""libelle"":""Principes généraux"",""profil"":""N"",""valeur"":1}]}"
Q24,QCU_CAT,Comment évaluez-vous la pertinence d'une idée ?,Sens humain; Incohérences logiques,F;T,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Sens humain"",""profil"":""F"",""valeur"":1},{""libelle"":""Incohérences logiques"",""profil"":""T"",""valeur"":1}]}"
Q25,QCU_CAT,Comment organisez-vous votre temps ?,Planifier à l'avance; Laisser de l'imprévu,J;P,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Planifier à l'avance"",""profil"":""J"",""valeur"":1},{""libelle"":""Laisser de l'imprévu"",""profil"":""P"",""valeur"":1}]}"
Q26,QCU_CAT,Quel univers fictif vous intéresse ?,Science-fiction; Histoires réalistes,N;S,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Science-fiction"",""profil"":""N"",""valeur"":1},{""libelle"":""Histoires réalistes"",""profil"":""S"",""valeur"":1}]}"
Q27,QCU_CAT,Où puisez-vous votre ressourcement ?,Isolement; Activités sociales,I;E,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Isolement"",""profil"":""I"",""valeur"":1},{""libelle"":""Activités sociales"",""profil"":""E"",""valeur"":1}]}"
Q28,QCU_CAT,Quelle est votre focalisation face à un problème ?,Détails présents; Schémas ou alternatives,S;N,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Détails présents"",""profil"":""S"",""valeur"":1},{""libelle"":""Schémas ou alternatives"",""profil"":""N"",""valeur"":1}]}"
Q29,QCU_CAT,Quel principe guide vos arbitrages difficiles ?,Préserver la relation; Solution rationnelle,F;T,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Préserver la relation"",""profil"":""F"",""valeur"":1},{""libelle"":""Solution rationnelle"",""profil"":""T"",""valeur"":1}]}"
Q30,QCU_CAT,Comment structurez-vous votre vie sociale ?,Peu de proches; Beaucoup de personnes,I;E,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Peu de proches"",""profil"":""I"",""valeur"":1},{""libelle"":""Beaucoup de personnes"",""profil"":""E"",""valeur"":1}]}"
Q31,QCU_CAT,Comment abordez-vous les voyages ?,Improviser; Programmer précisément,P;J,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Improviser"",""profil"":""P"",""valeur"":1},{""libelle"":""Programmer précisément"",""profil"":""J"",""valeur"":1}]}"
Q32,QCU_CAT,Quel est votre rôle naturel en discussion ?,Parler facilement; Écouter d'abord,E;I,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Parler facilement"",""profil"":""E"",""valeur"":1},{""libelle"":""Écouter d'abord"",""profil"":""I"",""valeur"":1}]}"
Q33,QCU_CAT,Quel niveau d'abstraction préférez-vous ?,Idées abstraites; Choses tangibles,N;S,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Idées abstraites"",""profil"":""N"",""valeur"":1},{""libelle"":""Choses tangibles"",""profil"":""S"",""valeur"":1}]}"
Q34,QCU_CAT,Comment planifiez-vous les projets à long terme ?,Commencer tôt; Dernière minute,J;P,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Commencer tôt"",""profil"":""J"",""valeur"":1},{""libelle"":""Dernière minute"",""profil"":""P"",""valeur"":1}]}"
Q35,QCU_CAT,Quel excès vous semble le plus difficile à contrôler ?,Trop émotif; Trop distant,F;T,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Trop émotif"",""profil"":""F"",""valeur"":1},{""libelle"":""Trop distant"",""profil"":""T"",""valeur"":1}]}"
Q36,QCU_CAT,Qu'est-ce qui captive votre intérêt ?,Faits concrets; Principes généraux,S;N,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Faits concrets"",""profil"":""S"",""valeur"":1},{""libelle"":""Principes généraux"",""profil"":""N"",""valeur"":1}]}"
Q37,QCU_CAT,Quelle valeur oriente vos interactions ?,Être juste; Être compatissant,T;F,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Être juste"",""profil"":""T"",""valeur"":1},{""libelle"":""Être compatissant"",""profil"":""F"",""valeur"":1}]}"
Q38,QCU_CAT,Comment vérifiez-vous la validité d'un argument ?,Sens humain; Incohérences logiques,F;T,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Sens humain"",""profil"":""F"",""valeur"":1},{""libelle"":""Incohérences logiques"",""profil"":""T"",""valeur"":1}]}"
Q39,QCU_CAT,Comment appréciez-vous les rencontres ?,Observer d'abord; À l'aise rapidement,I;E,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Observer d'abord"",""profil"":""I"",""valeur"":1},{""libelle"":""À l'aise rapidement"",""profil"":""E"",""valeur"":1}]}"
Q40,QCU_CAT,Quel style narratif préférez-vous ?,Science-fiction; Histoires réalistes,N;S,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Science-fiction"",""profil"":""N"",""valeur"":1},{""libelle"":""Histoires réalistes"",""profil"":""S"",""valeur"":1}]}"
Q41,QCU_CAT,Comment cultivez-vous vos relations ?,Peu de proches; Beaucoup de personnes,I;E,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Peu de proches"",""profil"":""I"",""valeur"":1},{""libelle"":""Beaucoup de personnes"",""profil"":""E"",""valeur"":1}]}"
Q42,QCU_CAT,Quelle priorité défendez-vous dans les désaccords ?,Préserver la relation; Solution rationnelle,F;T,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Préserver la relation"",""profil"":""F"",""valeur"":1},{""libelle"":""Solution rationnelle"",""profil"":""T"",""valeur"":1}]}"
Q43,QCU_CAT,Qu'est-ce qui éveille votre curiosité ?,Faits concrets; Principes généraux,S;N,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Faits concrets"",""profil"":""S"",""valeur"":1},{""libelle"":""Principes généraux"",""profil"":""N"",""valeur"":1}]}"
Q44,QCU_CAT,Comment testez-vous la solidité d'un raisonnement ?,Sens humain; Incohérences logiques,F;T,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Sens humain"",""profil"":""F"",""valeur"":1},{""libelle"":""Incohérences logiques"",""profil"":""T"",""valeur"":1}]}"
Q45,QCU_CAT,Comment envisagez-vous les situations futures ?,Imaginer des possibilités; Expérience passée,N;S,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Imaginer des possibilités"",""profil"":""N"",""valeur"":1},{""libelle"":""Expérience passée"",""profil"":""S"",""valeur"":1}]}"
Q46,QCU_CAT,Quelle structure vous convient le mieux ?,Options ouvertes; Tout structuré,P;J,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Options ouvertes"",""profil"":""P"",""valeur"":1},{""libelle"":""Tout structuré"",""profil"":""J"",""valeur"":1}]}"
Q47,QCU_CAT,Comment mûrissez-vous vos réflexions ?,Réfléchir seul d'abord; En parler,I;E,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Réfléchir seul d'abord"",""profil"":""I"",""valeur"":1},{""libelle"":""En parler"",""profil"":""E"",""valeur"":1}]}"
Q48,QCU_CAT,Quel registre domine vos échanges ?,Idées abstraites; Choses tangibles,N;S,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Idées abstraites"",""profil"":""N"",""valeur"":1},{""libelle"":""Choses tangibles"",""profil"":""S"",""valeur"":1}]}"
