ID,TypeQuestion,Titre,Options,Logique,Description,Paramètres (JSON)
Q17,QCU_CAT,The best way to manage a team is to...,Define clear rules and ensure they are followed;Give autonomy and encourage initiatives,B;J,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Define clear rules and ensure they are followed"",""profil"":""B"",""valeur"":1},{""libelle"":""Give autonomy and encourage initiatives"",""profil"":""J"",""valeur"":1}]}"
Q18,QCU_CAT,My main contribution to a group is...,My ability to get straight to the point;My ability to maintain a good atmosphere,R;V,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""My ability to get straight to the point"",""profil"":""R"",""valeur"":1},{""libelle"":""My ability to maintain a good atmosphere"",""profil"":""V"",""valeur"":1}]}"
Q19,QCU_CAT,A good leader must be...,Visionary and charismatic;Decisive and action-oriented,J;R,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Visionary and charismatic"",""profil"":""J"",""valeur"":1},{""libelle"":""Decisive and action-oriented"",""profil"":""R"",""valeur"":1}]}"
Q20,QCU_CAT,"In my interactions, I am rather...",Diplomatic and a good listener;Logical and factual,V;B,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Diplomatic and a good listener"",""profil"":""V"",""valeur"":1},{""libelle"":""Logical and factual"",""profil"":""B"",""valeur"":1}]}"
Q21,QCU_CAT,I am more motivated by...,The rigor of a well-defined plan;Achieving an ambitious result,B;R,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""The rigor of a well-defined plan"",""profil"":""B"",""valeur"":1},{""libelle"":""Achieving an ambitious result"",""profil"":""R"",""valeur"":1}]}"
Q22,QCU_CAT,"When I communicate, I try to...",Create enthusiasm;Ensure mutual understanding,J;V,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Create enthusiasm"",""profil"":""J"",""valeur"":1},{""libelle"":""Ensure mutual understanding"",""profil"":""V"",""valeur"":1}]}"
Q23,QCU_CAT,"When faced with routine, I am...",Reassured because it is predictable;Bored because I need novelty,V;J,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Reassured because it is predictable"",""profil"":""V"",""valeur"":1},{""libelle"":""Bored because I need novelty"",""profil"":""J"",""valeur"":1}]}"
Q24,QCU_CAT,Failure is...,An opportunity to analyze and correct the process;A driver to redouble efforts and win next time,B;R,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""An opportunity to analyze and correct the process"",""profil"":""B"",""valeur"":1},{""libelle"":""A driver to redouble efforts and win next time"",""profil"":""R"",""valeur"":1}]}"
Q25,QCU_CAT,I am known for...,My organization and my method;My ability to interact and build connections,B;J,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""My organization and my method"",""profil"":""B"",""valeur"":1},{""libelle"":""My ability to interact and build connections"",""profil"":""J"",""valeur"":1}]}"
Q26,QCU_CAT,I prefer tasks that require...,Speed of execution;Patience and cooperation,R;V,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Speed of execution"",""profil"":""R"",""valeur"":1},{""libelle"":""Patience and cooperation"",""profil"":""V"",""valeur"":1}]}"
Q27,QCU_CAT,"To feel engaged, I need to...",Participate in an inspiring global vision;Obtain concrete and rapid results,J;R,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Participate in an inspiring global vision"",""profil"":""J"",""valeur"":1},{""libelle"":""Obtain concrete and rapid results"",""profil"":""R"",""valeur"":1}]}"
Q28,QCU_CAT,My approach to teamwork is to...,Clarify roles and procedures;Facilitate exchanges and support my colleagues,B;V,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Clarify roles and procedures"",""profil"":""B"",""valeur"":1},{""libelle"":""Facilitate exchanges and support my colleagues"",""profil"":""V"",""valeur"":1}]}"
Q29,QCU_CAT,I am most effective when I can...,Control the situation and take the lead;Analyze data to ensure quality,R;B,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Control the situation and take the lead"",""profil"":""R"",""valeur"":1},{""libelle"":""Analyze data to ensure quality"",""profil"":""B"",""valeur"":1}]}"
Q30,QCU_CAT,"In meetings, I appreciate...",Listening and respecting everyone's speaking time;Creativity and limitless brainstorming,V;J,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Listening and respecting everyone's speaking time"",""profil"":""V"",""valeur"":1},{""libelle"":""Creativity and limitless brainstorming"",""profil"":""J"",""valeur"":1}]}"
Q31,QCU_CAT,Feedback is useful if it is...,Focused on the actions needed to win;Based on specific and documented facts,R;B,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Focused on the actions needed to win"",""profil"":""R"",""valeur"":1},{""libelle"":""Based on specific and documented facts"",""profil"":""B"",""valeur"":1}]}"
Q32,QCU_CAT,I am more comfortable with...,A detailed action plan;A general direction and the freedom to experiment,V;J,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""A detailed action plan"",""profil"":""V"",""valeur"":1},{""libelle"":""A general direction and the freedom to experiment"",""profil"":""J"",""valeur"":1}]}"
Q33,QCU_CAT,I prefer a manager who...,Is directive and sets clear goals;Is a mentor who supports the team's development,R;V,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Is directive and sets clear goals"",""profil"":""R"",""valeur"":1},{""libelle"":""Is a mentor who supports the team's development"",""profil"":""V"",""valeur"":1}]}"
Q34,QCU_CAT,The main quality of an argument is...,Its impeccable logic;Its potential to inspire and mobilize,B;J,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Its impeccable logic"",""profil"":""B"",""valeur"":1},{""libelle"":""Its potential to inspire and mobilize"",""profil"":""J"",""valeur"":1}]}"
Q35,QCU_CAT,What annoys me the most is...,Indecision and lack of action;Interpersonal conflicts,R;V,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Indecision and lack of action"",""profil"":""R"",""valeur"":1},{""libelle"":""Interpersonal conflicts"",""profil"":""V"",""valeur"":1}]}"
Q36,QCU_CAT,My motto would be...,"""Act first, perfect later"";""Think first, act later""",J;B,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""\""Act first, perfect later\"""",""profil"":""J"",""valeur"":1},{""libelle"":""\""Think first, act later\"""",""profil"":""B"",""valeur"":1}]}"
Q37,QCU_CAT,I feel valued when...,My results are publicly recognized;My new ideas are adopted,R;J,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""My results are publicly recognized"",""profil"":""R"",""valeur"":1},{""libelle"":""My new ideas are adopted"",""profil"":""J"",""valeur"":1}]}"
Q38,QCU_CAT,"To manage a project, I start by...",Establishing a detailed plan and milestones;Gathering the team to ensure everyone is aligned,B;V,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Establishing a detailed plan and milestones"",""profil"":""B"",""valeur"":1},{""libelle"":""Gathering the team to ensure everyone is aligned"",""profil"":""V"",""valeur"":1}]}"
Q39,QCU_CAT,I am perceived as someone who is...,Competitive and direct;Patient and cooperative,R;V,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Competitive and direct"",""profil"":""R"",""valeur"":1},{""libelle"":""Patient and cooperative"",""profil"":""V"",""valeur"":1}]}"
Q40,QCU_CAT,A good process should be...,Flexible to adapt to new ideas;Stable to ensure quality,J;B,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Flexible to adapt to new ideas"",""profil"":""J"",""valeur"":1},{""libelle"":""Stable to ensure quality"",""profil"":""B"",""valeur"":1}]}"
Q41
Q42
Q43
Q44
Q45
Q46
Q47
Q48
Q49
Q50
