ID,TypeQuestion,Titre,Options,Logique,Description,Paramètres (JSON),Axe
CD01-Q11,QCU_CAT,"Face à des avis divergents, vous :",Cherchez à intégrer toutes les perspectives; Choisissez rapidement une voie,r;K,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"": ""Cherchez à intégrer toutes les perspectives"", ""profil"": ""r"", ""valeur"": 1}, {""libelle"": "" Choisissez rapidement une voie"", ""profil"": ""K"", ""valeur"": 1}]}",Sélection
CD01-Q12,QCU_CAT,Votre processus créatif idéal :,Ouvert et sans limites initiales; Structuré et orienté résultat,r;K,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"": ""Ouvert et sans limites initiales"", ""profil"": ""r"", ""valeur"": 1}, {""libelle"": "" Structuré et orienté résultat"", ""profil"": ""K"", ""valeur"": 1}]}",Sélection
CD01-Q13,LIKERT_5,J'aime explorer un grand nombre de possibilités avant de choisir.,1;2;3;4;5,r,,"{""mode"": ""LIKERT_5"", ""echelle_min"": 1, ""echelle_max"": 5, ""options"": [{""libelle"": ""1"", ""profil"": ""r"", ""valeur"": 1}, {""libelle"": ""2"", ""profil"": ""r"", ""valeur"": 2}, {""libelle"": ""3"", ""profil"": ""r"", ""valeur"": 3}, {""libelle"": ""4"", ""profil"": ""r"", ""valeur"": 4}, {""libelle"": ""5"", ""profil"": ""r"", ""valeur"": 5}]}",Idéation
CD01-Q14,LIKERT_5,Je préfère trouver rapidement une solution unique et efficace.,1;2;3;4;5,K,,"{""mode"": ""LIKERT_5"", ""echelle_min"": 1, ""echelle_max"": 5, ""options"": [{""libelle"": ""1"", ""profil"": ""K"", ""valeur"": 1}, {""libelle"": ""2"", ""profil"": ""K"", ""valeur"": 2}, {""libelle"": ""3"", ""profil"": ""K"", ""valeur"": 3}, {""libelle"": ""4"", ""profil"": ""K"", ""valeur"": 4}, {""libelle"": ""5"", ""profil"": ""K"", ""valeur"": 5}]}",Sélection
CD01-Q15,LIKERT_5,Je suis stimulé par la nouveauté et la diversité des idées.,1;2;3;4;5,r,,"{""mode"": ""LIKERT_5"", ""echelle_min"": 1, ""echelle_max"": 5, ""options"": [{""libelle"": ""1"", ""profil"": ""r"", ""valeur"": 1}, {""libelle"": ""2"", ""profil"": ""r"", ""valeur"": 2}, {""libelle"": ""3"", ""profil"": ""r"", ""valeur"": 3}, {""libelle"": ""4"", ""profil"": ""r"", ""valeur"": 4}, {""libelle"": ""5"", ""profil"": ""r"", ""valeur"": 5}]}",Idéation
CD01-Q16,LIKERT_5,Je suis plus productif lorsque le cadre est clairement défini.,1;2;3;4;5,K,,"{""mode"": ""LIKERT_5"", ""echelle_min"": 1, ""echelle_max"": 5, ""options"": [{""libelle"": ""1"", ""profil"": ""K"", ""valeur"": 1}, {""libelle"": ""2"", ""profil"": ""K"", ""valeur"": 2}, {""libelle"": ""3"", ""profil"": ""K"", ""valeur"": 3}, {""libelle"": ""4"", ""profil"": ""K"", ""valeur"": 4}, {""libelle"": ""5"", ""profil"": ""K"", ""valeur"": 5}]}",Sélection
CD01-Q17,LIKERT_5,Je laisse libre cours à mon imagination avant d'évaluer la faisabilité.,1;2;3;4;5,r,,"{""mode"": ""LIKERT_5"", ""echelle_min"": 1, ""echelle_max"": 5, ""options"": [{""libelle"": ""1"", ""profil"": ""r"", ""valeur"": 1}, {""libelle"": ""2"", ""profil"": ""r"", ""valeur"": 2}, {""libelle"": ""3"", ""profil"": ""r"", ""valeur"": 3}, {""libelle"": ""4"", ""profil"": ""r"", ""valeur"": 4}, {""libelle"": ""5"", ""profil"": ""r"", ""valeur"": 5}]}",Idéation
CD01-Q18,LIKERT_5,Je préfère m'en tenir à une méthode éprouvée pour résoudre un problème.,1;2;3;4;5,K,,"{""mode"": ""LIKERT_5"", ""echelle_min"": 1, ""echelle_max"": 5, ""options"": [{""libelle"": ""1"", ""profil"": ""K"", ""valeur"": 1}, {""libelle"": ""2"", ""profil"": ""K"", ""valeur"": 2}, {""libelle"": ""3"", ""profil"": ""K"", ""valeur"": 3}, {""libelle"": ""4"", ""profil"": ""K"", ""valeur"": 4}, {""libelle"": ""5"", ""profil"": ""K"", ""valeur"": 5}]}",Sélection
CD01-Q19,LIKERT_5,Je suis à l'aise pour combiner des idées issues de domaines différents.,1;2;3;4;5,r,,"{""mode"": ""LIKERT_5"", ""echelle_min"": 1, ""echelle_max"": 5, ""options"": [{""libelle"": ""1"", ""profil"": ""r"", ""valeur"": 1}, {""libelle"": ""2"", ""profil"": ""r"", ""valeur"": 2}, {""libelle"": ""3"", ""profil"": ""r"", ""valeur"": 3}, {""libelle"": ""4"", ""profil"": ""r"", ""valeur"": 4}, {""libelle"": ""5"", ""profil"": ""r"", ""valeur"": 5}]}",Idéation
CD01-Q20,LIKERT_5,Je préfère suivre un chemin clair dès le début d'un projet.,1;2;3;4;5,K,,"{""mode"": ""LIKERT_5"", ""echelle_min"": 1, ""echelle_max"": 5, ""options"": [{""libelle"": ""1"", ""profil"": ""K"", ""valeur"": 1}, {""libelle"": ""2"", ""profil"": ""K"", ""valeur"": 2}, {""libelle"": ""3"", ""profil"": ""K"", ""valeur"": 3}, {""libelle"": ""4"", ""profil"": ""K"", ""valeur"": 4}, {""libelle"": ""5"", ""profil"": ""K"", ""valeur"": 5}]}",Sélection
CD01-Q21,LIKERT_5,Je produis plus d'idées que nécessaire pour augmenter les chances de succès.,1;2;3;4;5,r,,"{""mode"": ""LIKERT_5"", ""echelle_min"": 1, ""echelle_max"": 5, ""options"": [{""libelle"": ""1"", ""profil"": ""r"", ""valeur"": 1}, {""libelle"": ""2"", ""profil"": ""r"", ""valeur"": 2}, {""libelle"": ""3"", ""profil"": ""r"", ""valeur"": 3}, {""libelle"": ""4"", ""profil"": ""r"", ""valeur"": 4}, {""libelle"": ""5"", ""profil"": ""r"", ""valeur"": 5}]}",Idéation
CD01-Q22,LIKERT_5,Je suis plus efficace en réduisant le nombre d'options dès le départ.,1;2;3;4;5,K,,"{""mode"": ""LIKERT_5"", ""echelle_min"": 1, ""echelle_max"": 5, ""options"": [{""libelle"": ""1"", ""profil"": ""K"", ""valeur"": 1}, {""libelle"": ""2"", ""profil"": ""K"", ""valeur"": 2}, {""libelle"": ""3"", ""profil"": ""K"", ""valeur"": 3}, {""libelle"": ""4"", ""profil"": ""K"", ""valeur"": 4}, {""libelle"": ""5"", ""profil"": ""K"", ""valeur"": 5}]}",Sélection
